Stock_Name,Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,EMA_12,EMA_26,RSI,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Middle,BB_Lower,OBV
삼성전자,2020-01-02,48470.38882048234,48907.05899003623,48033.718650928444,48208.38671875,12993228,,,48208.38671875,48208.38671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
삼성전자,2020-01-03,48907.05686936937,49431.061050112614,47946.38253800676,48470.38671875,15422255,,,48350.303385416664,48344.42518028846,0.0,5.878205128203263,3.265669515668479,2.6125356125347836,0.0,0.0,0.0,15422255.0
삼성전자,2020-01-06,47946.38253800676,48557.72074887387,47684.380447635136,48470.38671875,10278951,,,48397.171938149535,48389.68193806986,0.0,7.490000079676975,4.996952533704747,2.493047545972227,0.0,0.0,0.0,15422255.0
삼성전자,2020-01-07,48645.06439012096,49256.40272177419,48557.73034274193,48732.3984375,10009778,,,48502.989843188756,48485.490494743586,0.0,17.499348445169744,9.232181501003188,8.267166944166556,0.0,0.0,0.0,25432033.0
삼성전자,2020-01-08,49081.726273657565,50129.73466384243,48819.724176111355,49605.73046875,23501171,,,48802.6005299845,48745.27876525627,0.0,57.32176472822903,23.53774528825504,33.78401943997399,0.0,0.0,0.0,48933204.0
삼성전자,2020-01-09,51003.07412542662,51177.7421875,50129.73381505973,51177.7421875,24102579,,,49379.884908499036,49232.48178809941,0.0,147.40312039962737,57.1121487250699,90.29097167455747,0.0,0.0,0.0,73035783.0
삼성전자,2020-01-10,51352.415625,52138.42198660714,50915.74542410714,51963.75390625,16000170,,,49956.466235079366,49718.224375773156,0.0,238.24185930621024,102.9512463721815,135.29061293402873,0.0,0.0,0.0,89035953.0
삼성전자,2020-01-13,52051.08184895833,52400.41796875,51614.41169921875,52400.41796875,11359139,,,50466.48129300895,50150.39222386833,0.0,316.08906914061663,154.172273241082,161.91679589953463,0.0,0.0,0.0,100395092.0
삼성전자,2020-01-14,52749.75408854167,53273.75826822917,52313.08393880208,52400.41796875,16906295,,,50849.08280202853,50483.89543393329,0.0,365.18736809524125,202.9178070036766,162.26956109156467,0.0,0.0,0.0,100395092.0
삼성전자,2020-01-15,51963.74433924788,52051.07836334746,51439.740194650425,51527.07421875,14300928,,,50977.56191199969,50627.843953304466,0.0,349.7179586952261,235.8095627196944,113.9083959755317,0.0,0.0,0.0,86094164.0
삼성전자,2020-01-16,51614.40948697488,53011.75390625,51527.07546077018,53011.75390625,14381774,,,51349.76999911419,50937.03782942526,0.0,412.73216968893394,274.5192182000975,138.21295148883644,0.0,0.0,0.0,100475938.0
삼성전자,2020-01-17,54059.7738007239,54147.107845636216,53273.76739651305,53535.76953125,16025661,,,51738.43353959845,51256.33296568062,0.0,482.100573917829,319.0989877823474,163.0015861354816,0.0,0.0,0.0,116501599.0
삼성전자,2020-01-20,54147.101362179485,54845.773637820515,53885.0992588141,54496.4375,12528855,,,52217.327802268795,51635.91062744695,0.0,581.4171748218432,374.6146298913622,206.80254493048102,0.0,0.0,0.0,129030454.0
삼성전자,2020-01-21,54147.09792345277,54496.43403908795,53448.42569218241,53623.09375,11142693,,,52456.68485957972,51859.09494111204,80.39210355413732,597.5899184676819,421.2612266269023,176.32869184077953,0.0,0.0,0.0,117887761.0
삼성전자,2020-01-22,52837.08520390249,54671.099731641254,52749.75117877207,54409.09765625,15339565,,,52783.74742716265,52134.94277147795,81.98192680298797,648.8046556846966,468.42949846562186,180.37515721907477,0.0,0.0,0.0,133227326.0
삼성전자,2020-01-23,53972.43013723273,53972.43013723273,53011.755814401724,53099.08984375,14916555,,,52835.8602478383,52235.80047551675,71.54469711735666,600.0597723215542,495.51802754601124,104.54174477554295,0.0,0.0,0.0,118310771.0
삼성전자,2020-01-28,51876.42223373724,51876.42223373724,50915.74774792729,51352.41796875,23664541,,,52593.475741649476,52146.12943661606,61.5384952225813,447.3463050334176,485.6617391599796,-38.315434126562025,0.0,0.0,0.0,94646230.0
삼성전자,2020-01-29,51614.41015625,52138.414320272845,51352.40807423858,51614.41015625,16446102,,,52435.015837406514,52093.59650916415,61.53843507232605,341.41932824236574,456.28403531204674,-114.864707069681,0.0,0.0,0.0,111092332.0
삼성전자,2020-01-30,51352.41092111014,51352.41092111014,49605.73027753496,49955.06640625,20821939,,,52036.82702047539,51887.41126294397,51.31579024805656,149.41575753142388,394.0129589680217,-244.5972014365978,0.0,0.0,0.0,90270393.0
삼성전자,2020-01-31,50479.070991245564,51003.07518838652,49256.39453125,49256.39453125,19749457,51365.511328125,,51593.37041225454,51639.28638741277,42.25351624672455,-45.91597515823378,305.00093335782447,-350.91690851605824,55479.93867009287,51365.511328125,47251.08398615713,70520936.0
삼성전자,2020-02-03,48470.3878592111,50129.73447060752,48208.38576267482,49955.06640625,23995260,51452.8453125,,51333.5410509539,51483.60169226773,41.8439387844959,-150.06064131383027,213.1413634349494,-363.2020047487797,55353.717232726805,51452.8453125,47551.9733922732,94516196.0
삼성전자,2020-02-04,49867.725905931664,51527.07230210102,49605.72384337861,51439.73828125,21800192,51601.312890625,,51350.30393485533,51479.620191427566,46.40520315468148,-129.31625657223776,144.14070443451266,-273.4569610067504,55241.5577739815,51601.312890625,47961.0680072685,116316388.0
삼성전자,2020-02-05,52400.424107142855,52575.0921875,51439.74966517857,51963.75390625,19278165,51775.98125,,51446.749162417065,51522.8435460037,48.427693832806064,-76.09438358663465,99.8321352024766,-175.92651878911124,55105.67390001901,51775.98125,48446.28859998099,135594553.0
삼성전자,2020-02-06,52487.75342675941,53361.09375,52138.41729746317,53361.09375,14727159,52007.416015625,,51746.70678397939,51684.50396942303,56.36366100702497,62.202814556359954,92.27056255602993,-30.067747999669976,55079.89133241569,52007.416015625,48934.94069883431,150321712.0
삼성전자,2020-02-07,53361.100016814984,53448.434059395695,52138.423420685016,52749.76171875,16402493,52164.617578125,,51903.429310765234,51776.90401139766,49.032292878645166,126.52529936757492,99.14749021649003,27.37780915108489,55034.762770498564,52164.617578125,49294.47238575143,133919219.0
삼성전자,2020-02-10,51701.74005443886,52225.74417661223,51614.40603407663,52138.41015625,13107121,52212.6509765625,,51940.05607223351,51807.86872875179,44.87173164713458,132.1873434817171,105.77549277810849,26.41185070360862,55045.16347164267,52212.6509765625,49380.13848148233,120812098.0
삼성전자,2020-02-11,52225.75970367279,53011.7661206177,52138.42565734558,52313.09375,11071231,52230.11796875,,51998.08441289423,51850.64823463102,41.4966253407064,147.43617826321133,114.12782457425375,33.30835368895758,55060.47559904614,52230.11796875,49399.76033845385,131883329.0
